Run,Learning Rate,Gamma,Batch Size,Buffer Size,Explore Fraction,Final Eps,Mean Reward,Std Reward
1,0.001,0.99,64,50000,0.3,0.05,107.63,32.71
2,0.0001,0.99,64,100000,0.3,0.01,30.67,60.82
3,0.005,0.99,256,50000,0.15,0.02,112.33,30.62
4,0.001,0.85,32,50000,0.5,0.1,112.33,33.13
5,0.0005,0.995,256,100000,0.2,0.02,105.67,22.61
6,0.001,0.99,64,100000,0.3,0.01,109.67,31.12
7,0.002,0.97,32,50000,0.1,0.01,108.67,32.01
8,0.0005,0.9,128,50000,0.6,0.1,109.67,29.72
9,0.0005,0.99,128,100000,0.25,0.02,100.07,30.44
10,0.0002,0.995,256,100000,0.2,0.02,54.9,45.53
